Year,Date,Avg
2021,2/11/2021,-8.47
2021,2/12/2021,-10.20
2021,2/13/2021,-14.30
2021,2/14/2021,-19.05
2021,2/15/2021,-14.75
2021,2/16/2021,-14.80
2021,2/17/2021,-12.05
2021,2/18/2021,-9.17
2021,2/19/2021,-10.50
2021,2/20/2021,-5.37
2021,2/21/2021,-1.62
2021,2/22/2021,1.48
2021,2/23/2021,4.51
2021,2/24/2021,5.64
2021,2/25/2021,1.92
2021,2/26/2021,2.76
2021,2/27/2021,6.40
2021,2/28/2021,7.90
2021,3/1/2021,-0.48
2021,3/2/2021,0.32
2021,3/3/2021,5.44
2021,3/4/2021,1.89
2021,3/5/2021,1.19
2021,3/6/2021,3.66
2021,3/7/2021,4.08
2021,3/8/2021,9.26
2021,3/9/2021,10.80
2021,3/10/2021,13.96
2021,3/11/2021,11.64
2021,3/12/2021,7.05
2021,3/13/2021,6.03
2021,3/14/2021,7.08
2021,3/15/2021,1.31
2021,3/16/2021,3.35
2021,3/17/2021,6.61
2021,3/18/2021,4.51
2021,3/19/2021,2.23
2021,3/20/2021,4.33
2021,3/21/2021,8.54
2021,3/22/2021,11.14
2021,3/23/2021,13.62
2021,3/24/2021,12.47
2021,3/25/2021,9.39
2021,3/26/2021,7.77
2021,3/27/2021,13.26
2021,3/28/2021,5.73
2021,3/29/2021,7.83
2021,3/30/2021,12.06
2021,3/31/2021,4.05
2021,4/1/2021,-0.07
2021,4/2/2021,2.08
2021,4/3/2021,9.22
2021,4/4/2021,14.13
2021,4/5/2021,16.39
2021,4/6/2021,18.05
2021,4/7/2021,19.51
2021,4/8/2021,13.98
2021,4/9/2021,15.38
2021,4/10/2021,14.06
2021,4/11/2021,9.14
2021,4/12/2021,11.47
2021,4/13/2021,9.97
2021,4/14/2021,8.05
2021,4/15/2021,7.28
2021,4/16/2021,9.58
2021,4/17/2021,9.66
2021,4/18/2021,10.79
2021,4/19/2021,9.48
2021,4/20/2021,2.16
2021,4/21/2021,3.97
2021,4/22/2021,6.11
2021,4/23/2021,9.72
2021,4/24/2021,10.80
2021,4/25/2021,9.75
2021,4/26/2021,14.77
2021,4/27/2021,20.65
2021,4/28/2021,19.14
2021,4/29/2021,15.52
2021,4/30/2021,12.58
2021,5/1/2021,15.19
2021,5/2/2021,17.69
2021,5/3/2021,18.13
2021,5/4/2021,13.59
2021,5/5/2021,12.26
2021,5/6/2021,10.58
2021,5/7/2021,11.03
2021,5/8/2021,9.26
2021,5/9/2021,7.35
2021,5/10/2021,10.00
2021,5/11/2021,9.16
2021,5/12/2021,9.26
2021,5/13/2021,12.59
2021,5/14/2021,14.90
2021,5/15/2021,14.83
2021,5/16/2021,15.90
2021,5/17/2021,16.48
2021,5/18/2021,18.21
2021,5/19/2021,20.52
2021,5/20/2021,21.75
2021,5/21/2021,21.74
2021,5/22/2021,21.57
2021,5/23/2021,23.52
2021,5/24/2021,23.77
2021,5/25/2021,23.87
2021,5/26/2021,21.84
2021,5/27/2021,20.37
2021,5/28/2021,13.58
2021,5/29/2021,11.42
2021,5/30/2021,14.28
2021,5/31/2021,16.26
2021,6/1/2021,17.51
2021,6/2/2021,18.46
2021,6/3/2021,20.62
2021,6/4/2021,22.36
2021,6/5/2021,23.13
2021,6/6/2021,23.12
2021,6/7/2021,23.45
2021,6/8/2021,23.64
2021,6/9/2021,23.66
2021,6/10/2021,25.11
2021,6/11/2021,27.31
2021,6/12/2021,27.79
2021,6/13/2021,25.25
2021,6/14/2021,22.77
2021,6/15/2021,21.67
2021,6/16/2021,20.20
2021,6/17/2021,22.24
2021,6/18/2021,25.69
2021,6/19/2021,24.79
2021,6/20/2021,25.40
2021,6/21/2021,20.01
2021,6/22/2021,17.55
2021,6/23/2021,20.12
2021,6/24/2021,21.99
2021,6/25/2021,24.57
2021,6/26/2021,25.62
2021,6/27/2021,26.22
2021,6/28/2021,26.05
2021,6/29/2021,25.58
2021,6/30/2021,23.53
2021,7/1/2021,22.37
2021,7/2/2021,18.31
2021,7/3/2021,20.22
2021,7/4/2021,23.23
2021,7/5/2021,24.37
2021,7/6/2021,25.49
2021,7/7/2021,25.62
2021,7/8/2021,23.95
2021,7/9/2021,20.69
2021,7/10/2021,21.23
2021,7/11/2021,22.15
2021,7/12/2021,22.78
2021,7/13/2021,22.83
2021,7/14/2021,24.31
2021,7/15/2021,25.45
2021,7/16/2021,22.72
2021,7/17/2021,22.55
2021,7/18/2021,22.27
2021,7/19/2021,22.72
2021,7/20/2021,22.94
2021,7/21/2021,22.79
2021,7/22/2021,23.92
2021,7/23/2021,25.63
2021,7/24/2021,26.45
2021,7/25/2021,25.76
2021,7/26/2021,24.01
2021,7/27/2021,25.55
2021,7/28/2021,25.42
2021,7/29/2021,26.02
2021,7/30/2021,21.23
2021,7/31/2021,17.94
2021,8/1/2021,20.43
2021,8/2/2021,19.54
2021,8/3/2021,20.51
2021,8/4/2021,21.92
2021,8/5/2021,23.06
2021,8/6/2021,22.62
2021,8/7/2021,24.51
2021,8/8/2021,25.38
2021,8/9/2021,24.54
2021,8/10/2021,26.98
2021,8/11/2021,26.46
2021,8/12/2021,24.71
2021,8/13/2021,23.48
2021,8/14/2021,21.29
2021,8/15/2021,19.92
2021,8/16/2021,21.88
2021,8/17/2021,24.14
2021,8/18/2021,25.26
2021,8/19/2021,25.51
2021,8/20/2021,25.41
2021,8/21/2021,25.00
2021,8/22/2021,25.56
2021,8/23/2021,25.83
2021,8/24/2021,27.30
2021,8/25/2021,26.72
2021,8/26/2021,25.94
2021,8/27/2021,25.98
2021,8/28/2021,26.43
2021,8/29/2021,26.65
2021,8/30/2021,24.62
2021,8/31/2021,23.50
2021,9/1/2021,20.44
2021,9/2/2021,19.45
2021,9/3/2021,20.43
2021,9/4/2021,20.12
2021,9/5/2021,19.83
2021,9/6/2021,21.92
2021,9/7/2021,22.97
2021,9/8/2021,19.72
2021,9/9/2021,18.76
2021,9/10/2021,19.83
2021,9/11/2021,22.44
2021,9/12/2021,23.31
2021,9/13/2021,23.29
2021,9/14/2021,24.79
2021,9/15/2021,20.33
2021,9/16/2021,20.77
2021,9/17/2021,24.05
2021,9/18/2021,24.79
2021,9/19/2021,24.58
2021,9/20/2021,23.79
2021,9/21/2021,19.19
2021,9/22/2021,14.50
2021,9/23/2021,13.42
2021,9/24/2021,16.71
2021,9/25/2021,15.05
2021,9/26/2021,17.19
2021,9/27/2021,21.31
2021,9/28/2021,20.63
2021,9/29/2021,22.23
2021,9/30/2021,22.43
2021,10/1/2021,21.30
2021,10/2/2021,20.80
2021,10/3/2021,20.58
2021,10/4/2021,19.46
2021,10/5/2021,19.48
2021,10/6/2021,19.75
2021,10/7/2021,19.90
2021,10/8/2021,19.48
2021,10/9/2021,21.36
2021,10/10/2021,23.15
2021,10/11/2021,21.10
2021,10/12/2021,16.99
2021,10/13/2021,17.95
2021,10/14/2021,20.04
2021,10/15/2021,15.59
2021,10/16/2021,9.83
2021,10/17/2021,10.94
2021,10/18/2021,12.90
2021,10/19/2021,12.61
2021,10/20/2021,15.50
2021,10/21/2021,11.58
2021,10/22/2021,10.12
2021,10/23/2021,8.67
2021,10/24/2021,14.67
2021,10/25/2021,10.40
2021,10/26/2021,8.40
2021,10/27/2021,8.75
2021,10/28/2021,10.20
2021,10/29/2021,11.65
2021,10/30/2021,11.38
2021,10/31/2021,8.37
2021,11/1/2021,3.22
2021,11/2/2021,2.30
2021,11/3/2021,2.37
2021,11/4/2021,3.77
2021,11/5/2021,3.73
2021,11/6/2021,5.55
2021,11/7/2021,8.59
2021,11/8/2021,10.98
2021,11/9/2021,9.87
2021,11/10/2021,11.33
2021,11/11/2021,10.00
2021,11/12/2021,3.71
2021,11/13/2021,1.51
2021,11/14/2021,1.50
2021,11/15/2021,1.05
2021,11/16/2021,6.46
2021,11/17/2021,13.09
2021,11/18/2021,1.72
2021,11/19/2021,-0.62
2021,11/20/2021,4.58
2021,11/21/2021,6.88
2021,11/22/2021,-2.63
2021,11/23/2021,-0.20
2021,11/24/2021,5.71
2021,11/25/2021,3.49
2021,11/26/2021,-3.35
2021,11/27/2021,1.89
2021,11/28/2021,-0.86
2021,11/29/2021,1.19
2021,11/30/2021,4.75
2021,12/1/2021,6.00
2021,12/2/2021,8.60
2021,12/3/2021,7.06
2021,12/4/2021,3.18
2021,12/5/2021,6.05
2021,12/6/2021,-0.64
2021,12/7/2021,-5.21
2021,12/8/2021,-1.21
2021,12/9/2021,2.71
2021,12/10/2021,8.71
2021,12/11/2021,3.94
2021,12/12/2021,2.05
2021,12/13/2021,2.85
2021,12/14/2021,5.98
2021,12/15/2021,13.72
2021,12/16/2021,7.39
2021,12/17/2021,0.26
2021,12/18/2021,1.73
2021,12/19/2021,-1.93
2021,12/20/2021,-0.77
2021,12/21/2021,0.28
2021,12/22/2021,-2.67
2021,12/23/2021,2.89
2021,12/24/2021,11.67
2021,12/25/2021,10.22
2021,12/26/2021,4.73
2021,12/27/2021,9.44
2021,12/28/2021,1.66
2021,12/29/2021,1.09
2021,12/30/2021,2.33
2021,12/31/2021,7.65
2022,1/1/2022,2.17
2022,1/2/2022,-4.34
2022,1/3/2022,-7.18
2022,1/4/2022,-2.11
2022,1/5/2022,-7.16
2022,1/6/2022,-11.60
2022,1/7/2022,-12.74
2022,1/8/2022,-3.74
2022,1/9/2022,-3.37
2022,1/10/2022,-8.27
2022,1/11/2022,-5.42
2022,1/12/2022,0.94
2022,1/13/2022,0.59
2022,1/14/2022,0.41
2022,1/15/2022,-3.27
2022,1/16/2022,-5.57
2022,1/17/2022,-4.74
2022,1/18/2022,-0.42
2022,1/19/2022,-3.54
2022,1/20/2022,-11.63
2022,1/21/2022,-8.85
2022,1/22/2022,-5.36
2022,1/23/2022,-4.17
2022,1/24/2022,-3.50
2022,1/25/2022,-10.91
2022,1/26/2022,-13.71
2022,1/27/2022,-4.19
2022,1/28/2022,-5.63
2022,1/29/2022,-7.56
2022,1/30/2022,-3.93
2022,1/31/2022,-2.20
2022,2/1/2022,2.50
2022,2/2/2022,-4.41
2022,2/3/2022,-6.99
2022,2/4/2022,-9.64
2022,2/5/2022,-14.56
2022,2/6/2022,-6.35
2022,2/7/2022,-8.71
2022,2/8/2022,-3.89
2022,2/9/2022,0.99
2022,2/10/2022,-1.36
2022,2/11/2022,2.00
2022,2/12/2022,-6.42
2022,2/13/2022,-9.79
2022,2/14/2022,-7.39
2022,2/15/2022,-0.74
2022,2/16/2022,9.10
2022,2/17/2022,0.06
2022,2/18/2022,-6.81
2022,2/19/2022,-6.99
2022,2/20/2022,1.00
2022,2/21/2022,7.40
2022,2/22/2022,7.54
2022,2/23/2022,-4.68
2022,2/24/2022,-1.57
2022,2/25/2022,-3.71
2022,2/26/2022,-4.17
2022,2/27/2022,0.11
2022,2/28/2022,3.51
2022,3/1/2022,7.18
2022,3/2/2022,7.19
2022,3/3/2022,0.82
2022,3/4/2022,2.89
2022,3/5/2022,12.90
2022,3/6/2022,7.39
2022,3/7/2022,-0.24
2022,3/8/2022,-1.27
2022,3/9/2022,1.52
2022,3/10/2022,-0.03
2022,3/11/2022,-2.77
2022,3/12/2022,-7.41
2022,3/13/2022,2.54
2022,3/14/2022,7.79
2022,3/15/2022,12.32
2022,3/16/2022,12.55
2022,3/17/2022,13.75
2022,3/18/2022,12.38
2022,3/19/2022,5.25
2022,3/20/2022,8.79
2022,3/21/2022,13.17
2022,3/22/2022,11.96
2022,3/23/2022,10.51
2022,3/24/2022,4.28
2022,3/25/2022,5.03
2022,3/26/2022,0.32
2022,3/27/2022,-1.03
2022,3/28/2022,0.12
2022,3/29/2022,2.81
2022,3/30/2022,14.80
2022,3/31/2022,3.29
2022,4/1/2022,2.87
2022,4/2/2022,3.77
2022,4/3/2022,7.29
2022,4/4/2022,9.28
2022,4/5/2022,8.86
2022,4/6/2022,9.80
2022,4/7/2022,5.55
2022,4/8/2022,3.67
2022,4/9/2022,4.74
2022,4/10/2022,10.94
2022,4/11/2022,11.28
2022,4/12/2022,15.00
2022,4/13/2022,15.62
2022,4/14/2022,6.85
2022,4/15/2022,11.07
2022,4/16/2022,6.45
2022,4/17/2022,4.64
2022,4/18/2022,4.44
2022,4/19/2022,5.18
2022,4/20/2022,9.78
2022,4/21/2022,15.58
2022,4/22/2022,16.98
2022,4/23/2022,20.65
2022,4/24/2022,19.96
2022,4/25/2022,11.08
2022,4/26/2022,6.12
2022,4/27/2022,9.20
2022,4/28/2022,11.40
2022,4/29/2022,15.33
2022,4/30/2022,18.98
2022,5/1/2022,11.09
2022,5/2/2022,11.26
2022,5/3/2022,15.10
2022,5/4/2022,12.42
2022,5/5/2022,12.30
2022,5/6/2022,12.78
2022,5/7/2022,13.63
2022,5/8/2022,13.73
2022,5/9/2022,19.05
2022,5/10/2022,23.32
2022,5/11/2022,24.78
2022,5/12/2022,24.15
2022,5/13/2022,23.15
2022,5/14/2022,23.33
2022,5/15/2022,20.30
2022,5/16/2022,17.59
2022,5/17/2022,19.43
2022,5/18/2022,19.36
2022,5/19/2022,21.80
2022,5/20/2022,23.91
2022,5/21/2022,18.62
2022,5/22/2022,14.15
2022,5/23/2022,13.65
2022,5/24/2022,16.33
2022,5/25/2022,20.94
2022,5/26/2022,19.73
2022,5/27/2022,17.11
2022,5/28/2022,17.59
2022,5/29/2022,20.88
2022,5/30/2022,23.37
2022,5/31/2022,24.90
2022,6/1/2022,22.61
2022,6/2/2022,20.10
2022,6/3/2022,19.53
2022,6/4/2022,20.98
2022,6/5/2022,22.31
2022,6/6/2022,20.73
2022,6/7/2022,20.09
2022,6/8/2022,19.52
2022,6/9/2022,19.07
2022,6/10/2022,18.44
2022,6/11/2022,20.90
2022,6/12/2022,24.07
2022,6/13/2022,26.93
2022,6/14/2022,28.01
2022,6/15/2022,27.89
2022,6/16/2022,27.35
2022,6/17/2022,25.09
2022,6/18/2022,19.65
2022,6/19/2022,20.03
2022,6/20/2022,22.64
2022,6/21/2022,25.87
2022,6/22/2022,25.36
2022,6/23/2022,23.88
2022,6/24/2022,24.21
2022,6/25/2022,24.72
2022,6/26/2022,22.69
2022,6/27/2022,19.84
2022,6/28/2022,21.23
2022,6/29/2022,22.89
2022,6/30/2022,24.32
2022,7/1/2022,25.18
2022,7/2/2022,23.98
2022,7/3/2022,25.32
2022,7/4/2022,26.72
2022,7/5/2022,29.55
2022,7/6/2022,28.15
2022,7/7/2022,24.48
2022,7/8/2022,25.18
2022,7/9/2022,22.80
2022,7/10/2022,21.84
2022,7/11/2022,24.21
2022,7/12/2022,23.81
2022,7/13/2022,24.08
2022,7/14/2022,23.19
2022,7/15/2022,23.53
2022,7/16/2022,26.61
2022,7/17/2022,23.57
2022,7/18/2022,24.86
2022,7/19/2022,25.01
2022,7/20/2022,26.98
2022,7/21/2022,26.44
2022,7/22/2022,26.20
2022,7/23/2022,28.27
2022,7/24/2022,26.72
2022,7/25/2022,22.69
2022,7/26/2022,22.80
2022,7/27/2022,24.93
2022,7/28/2022,24.58
2022,7/29/2022,21.97
2022,7/30/2022,23.42
2022,7/31/2022,24.55
2022,8/1/2022,26.12
2022,8/2/2022,25.50
2022,8/3/2022,26.46
2022,8/4/2022,24.83
2022,8/5/2022,26.02
2022,8/6/2022,27.08
2022,8/7/2022,27.79
2022,8/8/2022,27.00
2022,8/9/2022,22.62
2022,8/10/2022,21.64
2022,8/11/2022,22.55
2022,8/12/2022,20.80
2022,8/13/2022,21.57
2022,8/14/2022,23.90
2022,8/15/2022,22.60
2022,8/16/2022,22.69
2022,8/17/2022,22.62
2022,8/18/2022,22.49
2022,8/19/2022,23.30
2022,8/20/2022,22.51
2022,8/21/2022,22.73
2022,8/22/2022,22.36
2022,8/23/2022,22.94
2022,8/24/2022,23.39
2022,8/25/2022,23.76
2022,8/26/2022,23.65
2022,8/27/2022,23.35
2022,8/28/2022,26.11
2022,8/29/2022,25.44
2022,8/30/2022,21.94
2022,8/31/2022,21.19
2022,9/1/2022,22.57
2022,9/2/2022,22.43
2022,9/3/2022,23.46
2022,9/4/2022,22.40
2022,9/5/2022,22.14
2022,9/6/2022,23.12
2022,9/7/2022,21.48
2022,9/8/2022,20.59
2022,9/9/2022,21.40
2022,9/10/2022,23.66
2022,9/11/2022,17.74
