Location,Season,Genotype,Reps,Iron_ton_ha,Stage,Fe
East,2022,CV8,4,4.0378,Vegetative,0.29
East,2022,CV8,5,10.9722,Vegetative,0.3
East,2022,CV8,6,12.3961,Vegetative,0.3
East,2022,CV8,7,5.7053,Vegetative,0.26
East,2022,CV8,8,5.9431,Vegetative,0.26
East,2022,CV8,9,17.0997,Vegetative,0.29
East,2022,CV8,10,9.2978,Vegetative,0.28
East,2022,CV8,11,5.8713,Vegetative,0.28
East,2022,CV8,12,9.9678,Vegetative,0.3
East,2022,CV8,13,7.3397,Vegetative,0.23
East,2022,CV8,14,5.7339,Vegetative,0.25
East,2022,CV8,15,6.3623,Vegetative,0.28
East,2022,CV8,16,5.4755,Vegetative,0.29
East,2022,CV8,17,5.3193,Vegetative,0.28
East,2022,CV8,18,8.8848,Vegetative,0.31
East,2022,CV8,19,3.8051,Vegetative,0.22
East,2022,CV8,20,6.0817,Vegetative,0.3
East,2022,CV9,1,11.5356,Vegetative,0.29
East,2022,CV9,2,2.9183,Vegetative,0.2
East,2022,CV9,3,5.2336,Vegetative,0.27
East,2022,CV9,4,5.6697,Vegetative,0.28
East,2022,CV9,5,17.1287,Vegetative,0.3
East,2022,CV9,6,9.5376,Vegetative,0.27
East,2022,CV9,7,7.1283,Vegetative,0.28
East,2022,CV9,8,5.6457,Vegetative,0.27
East,2022,CV9,9,4.2098,Vegetative,0.18
East,2022,CV9,10,7.8886,Vegetative,0.26
East,2022,CV9,11,6.4448,Vegetative,0.27
East,2022,CV9,12,20.2353,Vegetative,0.28
East,2022,CV9,13,9.7108,Vegetative,0.23
East,2022,CV9,14,8.828,Vegetative,0.31
East,2022,CV9,15,7.263,Vegetative,0.27
East,2022,CV9,16,2.4873,Vegetative,0.3
East,2022,CV9,17,7.5949,Vegetative,0.29
East,2022,CV9,18,10.5377,Vegetative,0.22
East,2022,CV9,19,5.0705,Vegetative,0.26
East,2022,CV9,20,4.129,Vegetative,0.29
East,2022,CV10,1,5.533,Vegetative,0.25
East,2022,CV10,2,3.6568,Vegetative,0.28
East,2022,CV10,3,2.8325,Vegetative,0.27
East,2022,CV10,4,12.0257,Vegetative,0.31
East,2022,CV10,5,10.8228,Vegetative,0.31
East,2022,CV10,6,5.5389,Vegetative,0.25
East,2022,CV10,7,4.6497,Vegetative,0.25
East,2022,CV10,8,8.3167,Vegetative,0.27
East,2022,CV10,9,7.527,Vegetative,0.26
East,2022,CV10,10,5.1585,Vegetative,0.25
East,2022,CV10,11,15.7612,Vegetative,0.29
East,2022,CV10,12,6.2253,Vegetative,0.25
East,2022,CV10,13,3.0922,Vegetative,0.17
East,2022,CV10,14,3.9155,Vegetative,0.32
East,2022,CV10,15,1.7777,Vegetative,0.26
East,2022,CV10,16,5.9501,Vegetative,0.25
East,2022,CV10,17,5.3734,Vegetative,0.26
East,2022,CV10,18,5.2494,Vegetative,0.24
East,2022,CV10,19,4.1015,Vegetative,0.22
East,2022,CV10,20,5.7351,Vegetative,0.3
East,2022,CV11,1,24.7594,Vegetative,0.3
East,2022,CV11,2,7.0653,Vegetative,0.32
East,2022,CV11,3,23.5792,Vegetative,0.29
East,2022,CV11,4,5.5166,Vegetative,0.32
East,2022,CV11,5,6.6272,Vegetative,0.31
East,2022,CV11,6,20.3881,Vegetative,0.31
East,2022,CV11,7,6.7091,Vegetative,0.29
East,2022,CV11,8,8.4197,Vegetative,0.29
East,2022,CV11,9,9.5863,Vegetative,0.31
East,2022,CV11,10,9.1012,Vegetative,0.29
East,2022,CV11,11,12.9598,Vegetative,0.28
East,2022,CV11,12,5.5388,Vegetative,0.3
East,2022,CV11,13,8.9313,Vegetative,0.29
East,2022,CV11,14,7.794,Vegetative,0.26
East,2022,CV11,15,14.8015,Vegetative,0.3
East,2022,CV11,16,6.902,Vegetative,0.3
East,2022,CV11,17,14.4712,Vegetative,0.29
East,2022,CV11,18,5.6044,Vegetative,0.28
East,2022,CV11,19,3.6332,Vegetative,0.3
East,2022,CV11,20,6.6583,Vegetative,0.26
East,2022,CV12,1,21.8253,Vegetative,0.3
East,2022,CV12,2,2.4447,Vegetative,0.27
East,2022,CV12,7,16.9766,Vegetative,0.24
East,2022,CV12,8,7.3771,Vegetative,0.27
East,2022,CV12,9,6.5519,Vegetative,0.24
East,2022,CV12,10,11.3954,Vegetative,0.24
East,2022,CV12,11,12.5739,Vegetative,0.24
East,2022,CV12,12,9.3832,Vegetative,0.28
East,2022,CV12,13,8.9424,Vegetative,0.23
East,2022,CV12,14,16.9263,Vegetative,0.29
West,2021,CV1,1,13.2023,Vegetative,0.79
West,2021,CV1,2,14.1212,Vegetative,0.64
West,2021,CV1,3,19.2169,Vegetative,0.74
West,2021,CV1,4,23.4879,Vegetative,0.67
West,2021,CV1,5,13.4269,Vegetative,0.81
West,2021,CV1,6,21.1531,Vegetative,0.65
