sample_no,grain_length,grain_weight
789,6.72,56.22
790,7.07,51.46
791,6.28,42.75
792,6.11,31.51
793,6.53,38.96
794,5.27,25.46
795,5.68,36.34
796,6.65,56.13
797,5.76,41.68
798,6.04,36.06
799,5.75,39.96
800,6.69,50.98
801,6.07,33.44
802,6.69,52.5
803,6.14,41.19
804,6.63,49.29
805,6.13,39.42
806,6.5,50.76
807,6.17,40.53
808,6.08,30.62
809,6.45,52.93
810,6.31,35.26
811,6.9,55.02
812,6.05,40.39
813,5.98,34.76
814,6.38,32.13
815,6.35,47.79
816,6.17,33.82
817,6.31,32.68
818,6.31,43.13
819,6.46,44.68
820,5.66,37.07
821,6.61,41.39
822,6.63,55.51
823,6.4,47.73
824,6.32,43.1
825,6.61,49.11
826,6.61,50.49
827,6.5,33.69
828,5.61,30.38
829,5.94,33.99
830,5.14,23.16
831,7.11,61.3
832,6.55,48.69
833,6.65,48.45
834,6.39,42.09
835,6.23,42.61
836,6.49,50.43
837,5.86,29.66
838,6.01,43.89
839,6.02,39.45
840,6.15,48.39
841,5.91,35.67
842,5.61,31.08
843,5.12,22.04
844,6.24,46.01
845,6.13,42.09
846,6.65,52.28
847,6.14,45.39
848,6.92,55.17
849,6.69,54.92
850,6.04,37.94
851,6.65,51.43
852,6.82,47.82
853,6.62,47.88
854,6.13,31.78
855,6.55,49.53
856,5.62,30.3
857,6.92,52.62
858,5.66,29.98
859,6.02,37.35
860,6.39,48.66
861,6.58,54.06
862,6.26,42.06
863,5.78,36.26
864,5.93,32.4
865,6.72,50.19
866,6.41,47.67
867,6.43,33.28
868,6.5,43.83
869,7.03,57.31
870,6.7,53.45
871,5.6,29.53
872,6.57,40.39
873,6.67,49.74
874,6.73,40.24
875,6.82,53.91
876,6.14,44.68
877,6.13,47.64
878,6.55,45.36
879,5.54,28.39
880,4.74,22.09
881,6.14,41.62
882,6.5,44.36
883,6.34,39.73
884,6.97,56.35
885,6.53,49.14
886,6.85,55.88
887,6.25,43.51
888,4.26,21.27
889,6.06,38.03
890,6.42,33.63
891,6.44,37.91
892,6.55,48
893,6.45,44.18
894,6.34,39.05
895,6.57,42.96
896,6.69,52.07
897,6.2,44.18
898,5.81,34.68
899,6.5,47.37
900,6.21,43.57
901,6.91,56.28
902,6.57,38.11
903,6.82,53.32
904,6.32,30.54
905,6.37,42.64
906,6.87,54.03
907,6.78,47.49
908,6.61,46.04
909,6.45,41.97
910,6.55,47.94
911,6.08,38.88
912,6.37,43.69
913,6.62,50.13
914,6.14,46.72
915,5.84,34.18
916,4.95,24.09
917,6.16,48.81
918,6.67,52.04
919,5.68,31.05
920,6.07,37.83
921,4.82,20.2
922,6.61,48.15
923,6.28,44.68
924,6.02,47.85
925,6.4,34.07
926,6.57,49.32
927,6.61,48.63
928,6.3,41.02
929,6.36,30.01
930,6.49,43.1
931,6.92,52.31
932,6.52,40.56
933,5.93,30.09
934,6.07,27.4
935,6.14,39.13
936,7.05,45.59
937,6.49,37.38
938,6.59,34.7
939,5.17,26.15
940,6.02,37.3
941,7.15,61.46
942,6.65,51.01
943,5.81,36.18
944,5.22,26.26
945,6.39,45.74
946,6.26,40.19
947,5.36,25.64
948,5.91,38.71
949,6.63,50.07
950,6.67,40.3
951,6.58,44.39
952,6.21,53.63
953,6.01,37.27
954,5.85,33.71
955,6.79,44.12
956,6.14,39.84
957,6.72,50.31
958,5.82,34.65
959,6.17,41.16
960,6.71,39.25
961,5.73,26.67
962,5.43,31.08
963,6.07,38.23
964,6.69,58.37
965,6.76,60.26
966,6.03,29.77
967,7.02,56.16
968,6.4,52.5
969,5.96,32.57
970,6.61,47.31
971,6.19,47.13
972,6.02,39.64
973,6.55,54.55
974,6.67,37.49
975,6.36,31.65
976,7.23,59.38
977,6.21,42.72
978,6.57,40.67
979,6.4,52.93
980,6.63,54.06
981,5.53,31.13
982,5.39,29.5
983,7.02,59.44
984,6.45,28.89
985,5.91,37.21
986,6.44,38.45
987,6.4,31.46
988,5.72,30.87
989,6.78,40.07
990,6.55,39.53
991,6.84,57.53
992,6.82,58.34
993,4.88,20.47
994,6.11,30.7
995,5.78,32.21
996,6.67,41.31
997,5.5,28.39
998,6.5,43.13
999,5.05,43.85
1000,5.05,43.85
