Year,Date,planting_date,Max,Min,Avg
2024,2-Jul,May_2,27.44,15.4,21.85
2024,3-Jul,May_2,28.55,21.34,24.22
2024,4-Jul,May_2,26.8,20.28,23.47
2024,5-Jul,May_2,27.6,18.03,22.51
2024,6-Jul,May_2,26.61,16.13,22.01
2024,7-Jul,May_2,28.84,18.25,24.1
2024,8-Jul,May_2,28.16,19.29,23.73
2024,9-Jul,May_2,24.66,17.43,21.92
2024,10-Jul,May_2,27.72,14.39,21.9
2024,11-Jul,May_2,27.85,19.37,23.61
2024,12-Jul,May_2,27.79,16.88,22.76
2024,13-Jul,May_2,28.46,19.75,24.4
2024,14-Jul,May_2,29.13,22.62,26.04
2024,15-Jul,May_2,31.11,23.66,27.23
2024,16-Jul,May_2,27.14,21.57,24.85
2024,17-Jul,May_2,27.51,17.41,23.4
2024,18-Jul,May_2,23.55,14.26,18.98
2024,19-Jul,May_2,24.8,12,19.23
2024,20-Jul,May_2,25.65,14.27,20.79
2024,21-Jul,May_2,26.05,16.46,21.83
2024,22-Jul,May_2,27.05,17.22,23.06
2024,23-Jul,May_2,27.7,18.63,23.52
2024,24-Jul,May_2,28.37,19.1,23.81
2024,25-Jul,May_2,26.35,16.69,21.67
2024,26-Jul,May_2,25.8,13.46,20.08
2024,27-Jul,May_2,26.97,13.75,21.43
2024,28-Jul,May_2,27.4,20.03,23.28
2024,29-Jul,May_2,28.04,21.29,24.32
2024,30-Jul,May_2,30.19,20.36,25.4
2024,31-Jul,May_2,30.01,22.12,25.98
2024,1-Aug,May_2,29,21.62,25.07
2024,2-Aug,May_2,25.98,20.93,23.36
2024,3-Aug,May_2,30.28,19.44,25.74
2024,4-Aug,May_2,30.19,20.57,25.82
2024,5-Aug,May_2,31.25,21.91,26.34
2024,6-Aug,May_2,30,19.03,24.5
2024,7-Aug,May_2,25.42,17.27,21.06
2024,8-Aug,May_2,26.33,16.85,21.73
2024,9-Aug,May_2,22.5,14.02,19.09
2024,10-Aug,May_2,23.08,11.74,17.64
2024,11-Aug,May_2,24.35,12.33,18.95
2024,12-Aug,May_2,25.28,14.88,20.33
2024,13-Aug,May_2,25.8,16.43,21.23
2024,14-Aug,May_2,27.57,15.75,21.8
2024,15-Aug,May_2,25.93,18.29,22.05
2024,16-Aug,May_2,29.22,22.46,25.38
2024,17-Aug,May_2,26.22,20.16,22.98
2024,18-Aug,May_2,25.62,18.07,21.94
2024,19-Aug,May_2,24.38,14.12,19.3
2024,20-Aug,May_2,22.16,12.55,17.05
2024,21-Aug,May_2,22.56,10.44,16.26
2024,22-Aug,May_2,23.75,9.43,16.8
2024,23-Aug,May_2,27.03,10.63,19.66
2024,24-Aug,May_2,30.65,17.8,24.12
2024,25-Aug,May_2,30.26,18.69,24.34
2024,26-Aug,May_2,31.73,19.87,25.57
2024,27-Aug,May_2,32.83,21.37,27.31
2024,28-Aug,May_2,30.08,22.55,25.65
2024,29-Aug,May_2,31.85,20.73,26.25
2024,30-Aug,May_2,32.47,21.75,26.4
2024,31-Aug,May_2,26.4,16.95,21.94
2024,1-Sep,May_2,26.58,13.8,19.62
2024,2-Sep,May_2,22.51,11.44,16.54
2024,3-Sep,May_2,22.61,9.95,15.78
2024,4-Sep,May_2,27.94,9.59,19.62
2024,5-Sep,May_2,29.23,17.38,23.26
2024,6-Sep,May_2,24.36,12.48,19.67
2024,7-Sep,May_2,19.17,8.83,13.6
2024,8-Sep,May_2,20.29,6.68,13.87
2024,9-Sep,May_2,24.08,7.74,16.55
2024,10-Sep,May_2,26.81,11.37,20.01
2024,11-Sep,May_2,28.62,13.94,20.71
2024,12-Sep,May_2,29.2,12.62,20.86
2024,19-May,May_19,29.95,16.76,24.07
2024,20-May,May_19,29.02,17.8,23.45
2024,21-May,May_19,29.56,19.31,24.58
2024,22-May,May_19,24.74,15.28,20.09
2024,23-May,May_19,26.77,12.47,20.44
2024,24-May,May_19,26.78,17.51,21.96
2024,25-May,May_19,25.23,14.67,20.19
2024,26-May,May_19,24.26,14.65,19.62
2024,27-May,May_19,24.09,14.69,18.87
2024,28-May,May_19,23.94,12.71,18.41
2024,29-May,May_19,22.13,10.62,16.75
2024,30-May,May_19,23.81,8.26,16.76
2024,31-May,May_19,24.4,12.02,18.64
2024,1-Jun,May_19,23.44,15.15,18.9
2024,2-Jun,May_19,24.54,15.55,19.82
2024,3-Jun,May_19,28.18,15.46,22.61
2024,4-Jun,May_19,25.2,19.23,22.06
2024,5-Jun,May_19,25.1,16.94,21.65
2024,6-Jun,May_19,25.58,15.69,20.47
2024,7-Jun,May_19,25.3,12.86,19.89
2024,8-Jun,May_19,23.65,15.33,19.75
2024,9-Jun,May_19,25.11,12.5,18.67
2024,10-Jun,May_19,20.68,10.05,15.54
2024,11-Jun,May_19,24.01,10.6,17.58
2024,12-Jun,May_19,28.55,13.8,21.65
2024,13-Jun,May_19,29.01,16.77,23.58
2024,14-Jun,May_19,29.22,18.14,24.37
2024,15-Jun,May_19,28.52,15.1,22.2
2024,16-Jun,May_19,29.35,16.02,24.02
2024,17-Jun,May_19,30.51,22.87,26.08
2024,18-Jun,May_19,28.03,21.3,24.42
2024,19-Jun,May_19,30.29,20.91,25.64
2024,20-Jun,May_19,31.14,19.87,26.08
2024,21-Jun,May_19,30.8,20.34,25.78
2024,22-Jun,May_19,30.22,20.88,25.94
2024,23-Jun,May_19,28.54,18.98,24.56
2024,24-Jun,May_19,29.55,18.73,24.42
2024,25-Jun,May_19,30.42,21.37,25.23
2024,26-Jun,May_19,27.4,19.51,24.26
2024,27-Jun,May_19,26.04,16.77,20.8
2024,28-Jun,May_19,27.9,16.8,23.24
2024,29-Jun,May_19,29.05,21.62,25.73
2024,30-Jun,May_19,23.52,11.75,19.4
2024,1-Jul,May_19,23.34,10.27,17.48
2024,2-Jul,May_19,27.44,15.4,21.85
2024,3-Jul,May_19,28.55,21.34,24.22
2024,4-Jul,May_19,26.8,20.28,23.47
2024,5-Jul,May_19,27.6,18.03,22.51
2024,6-Jul,May_19,26.61,16.13,22.01
2024,7-Jul,May_19,28.84,18.25,24.1
2024,8-Jul,May_19,28.16,19.29,23.73
2024,9-Jul,May_19,24.66,17.43,21.92
2024,10-Jul,May_19,27.72,14.39,21.9
2024,11-Jul,May_19,27.85,19.37,23.61
2024,12-Jul,May_19,27.79,16.88,22.76
2024,13-Jul,May_19,28.46,19.75,24.4
2024,14-Jul,May_19,29.13,22.62,26.04
2024,15-Jul,May_19,31.11,23.66,27.23
2024,16-Jul,May_19,27.14,21.57,24.85
2024,17-Jul,May_19,27.51,17.41,23.4
2024,18-Jul,May_19,23.55,14.26,18.98
2024,19-Jul,May_19,24.8,12,19.23
2024,20-Jul,May_19,25.65,14.27,20.79
2024,21-Jul,May_19,26.05,16.46,21.83
2024,22-Jul,May_19,27.05,17.22,23.06
2024,23-Jul,May_19,27.7,18.63,23.52
2024,24-Jul,May_19,28.37,19.1,23.81
2024,25-Jul,May_19,26.35,16.69,21.67
2024,26-Jul,May_19,25.8,13.46,20.08
2024,27-Jul,May_19,26.97,13.75,21.43
2024,28-Jul,May_19,27.4,20.03,23.28
2024,29-Jul,May_19,28.04,21.29,24.32
2024,30-Jul,May_19,30.19,20.36,25.4
2024,31-Jul,May_19,30.01,22.12,25.98
2024,1-Aug,May_19,29,21.62,25.07
2024,2-Aug,May_19,25.98,20.93,23.36
2024,3-Aug,May_19,30.28,19.44,25.74
2024,4-Aug,May_19,30.19,20.57,25.82
2024,5-Aug,May_19,31.25,21.91,26.34
2024,6-Aug,May_19,30,19.03,24.5
2024,7-Aug,May_19,25.42,17.27,21.06
2024,8-Aug,May_19,26.33,16.85,21.73
2024,9-Aug,May_19,22.5,14.02,19.09
2024,10-Aug,May_19,23.08,11.74,17.64
2024,11-Aug,May_19,24.35,12.33,18.95
2024,12-Aug,May_19,25.28,14.88,20.33
2024,13-Aug,May_19,25.8,16.43,21.23
2024,14-Aug,May_19,27.57,15.75,21.8
2024,15-Aug,May_19,25.93,18.29,22.05
2024,16-Aug,May_19,29.22,22.46,25.38
2024,17-Aug,May_19,26.22,20.16,22.98
2024,18-Aug,May_19,25.62,18.07,21.94
2024,19-Aug,May_19,24.38,14.12,19.3
2024,20-Aug,May_19,22.16,12.55,17.05
2024,21-Aug,May_19,22.56,10.44,16.26
2024,22-Aug,May_19,23.75,9.43,16.8
2024,23-Aug,May_19,27.03,10.63,19.66
2024,24-Aug,May_19,30.65,17.8,24.12
2024,25-Aug,May_19,30.26,18.69,24.34
2024,26-Aug,May_19,31.73,19.87,25.57
2024,27-Aug,May_19,32.83,21.37,27.31
2024,28-Aug,May_19,30.08,22.55,25.65
2024,29-Aug,May_19,31.85,20.73,26.25
2024,30-Aug,May_19,32.47,21.75,26.4
2024,31-Aug,May_19,26.4,16.95,21.94
2024,1-Sep,May_19,26.58,13.8,19.62
2024,2-Sep,May_19,22.51,11.44,16.54
2024,3-Sep,May_19,22.61,9.95,15.78
2024,4-Sep,May_19,27.94,9.59,19.62
2024,5-Sep,May_19,29.23,17.38,23.26
2024,6-Sep,May_19,24.36,12.48,19.67
2024,7-Sep,May_19,19.17,8.83,13.6
2024,8-Sep,May_19,20.29,6.68,13.87
2024,9-Sep,May_19,24.08,7.74,16.55
2024,10-Sep,May_19,26.81,11.37,20.01
2024,11-Sep,May_19,28.62,13.94,20.71
2024,12-Sep,May_19,29.2,12.62,20.86
