grain_weight_mg,grain_area_mm2
49.764,19.100
41.928,16.650
53.506,19.850
43.573,17.400
47.298,18.750
43.283,17.550
45.340,18.200
36.797,15.800
30.355,13.700
43.113,16.850
45.265,18.750
45.554,18.150
47.493,19.250
45.834,18.750
47.863,18.900
47.546,18.550
50.431,20.200
54.198,20.100
48.847,19.600
42.209,17.200
50.479,19.250
56.257,20.050
44.869,18.300
45.613,19.250
40.175,17.300
45.390,18.150
47.072,18.800
41.893,16.850
43.078,17.500
46.197,18.300
43.043,17.100
45.434,18.250
42.813,17.500
41.653,17.700
42.640,17.750
49.358,19.500
39.053,16.250
42.662,17.950
51.378,19.600
41.515,17.000
34.982,15.300
43.974,17.300
40.514,17.600
53.469,19.800
43.150,17.100
47.882,18.850
43.345,17.750
54.960,20.500
53.513,20.200
43.378,17.300
49.993,19.050
41.617,17.350
41.042,15.950
34.561,15.700
44.627,17.350
57.303,21.300
48.487,18.650
60.539,22.400
44.919,17.500
44.913,17.850
37.189,15.650
45.597,18.500
49.503,18.600
43.042,16.950
52.053,19.800
49.339,18.900
53.164,20.150
45.255,17.600
55.906,21.300
43.179,16.950
42.798,16.900
46.008,19.050
46.429,18.450
45.994,17.750
50.358,20.200
42.065,17.300
48.657,18.000
46.330,18.900
38.922,15.900
46.957,18.200
38.266,17.200
48.771,18.600
49.171,19.000
53.672,21.450
50.273,19.200
45.855,18.500
55.879,20.100
54.043,20.500
46.198,18.400
49.371,18.550
44.735,18.500
46.774,18.400
47.385,18.430
48.371,19.050
52.658,19.900
46.409,18.400
46.302,17.550
42.704,17.150
52.949,19.600
52.178,19.600
46.548,17.850
45.997,17.450
48.019,18.800
56.781,20.950
52.761,19.400
47.993,19.300
48.708,18.450
51.592,19.250
51.330,19.000
50.213,20.450
45.964,17.750
44.053,17.700
45.972,17.600
48.769,19.350
48.545,19.250
50.184,19.650
39.973,16.950
50.101,18.300
47.064,18.000
46.054,18.300
45.875,18.550
46.880,19.150
52.614,19.550
55.211,20.550
49.647,19.450
48.513,18.850
49.524,19.100
48.968,18.750
46.638,17.950
42.074,17.650
50.809,19.350
46.806,19.050
49.675,19.650
39.849,16.900
46.420,18.650
45.439,18.050
49.135,19.150
45.471,18.000
53.503,20.200
55.259,20.000
51.663,19.550
51.861,20.250
47.307,18.550
47.567,19.000
46.085,18.100
49.550,18.850
50.410,20.000
48.941,18.850
50.915,18.850
50.223,19.050
44.438,17.950
53.067,20.000
48.057,19.250
49.107,18.050
49.366,19.150
48.834,18.350
53.210,20.450
51.073,19.250
46.146,18.100
46.678,18.500
52.141,19.800
47.631,17.950
49.797,18.900
45.988,18.600
48.241,18.850
51.784,20.200
49.301,19.500
44.551,17.750
51.803,19.450
49.355,18.800
57.274,22.400
53.457,19.750
50.515,18.800
48.537,18.600
49.633,18.400
55.511,20.400
44.121,17.500
52.153,19.500
50.081,19.200
49.258,18.800
51.488,20.250
48.716,19.950
45.334,17.900
46.603,18.000
52.520,20.000
45.290,18.050
52.212,19.500
44.482,18.300
49.364,20.150
44.098,17.450
48.133,18.450
46.991,17.900
39.121,16.550
48.958,19.650
55.612,20.950
43.599,18.000
51.963,20.350
52.252,19.650
49.799,19.250
43.498,17.900
53.329,19.700
48.048,18.250
43.879,16.750
44.565,17.550
48.409,18.700
47.674,18.450
42.534,17.350
48.920,18.750
44.427,17.700
43.657,17.200
48.563,18.950
50.517,18.450
51.323,19.550
52.474,19.750
48.142,18.350
40.737,17.050
43.418,17.350
52.797,20.150
48.770,18.350
44.906,17.750
48.917,19.350
48.004,19.550
45.587,17.300
47.996,19.200
44.741,17.800
49.694,19.400
48.846,18.700
50.411,19.750
50.264,19.150
41.958,16.950
48.935,18.650
