date,temp
12-Jun,24.07
13-Jun,26.93
14-Jun,28.01
15-Jun,27.89
16-Jun,27.35
17-Jun,25.09
18-Jun,19.65
19-Jun,20.03
20-Jun,22.64
21-Jun,25.87
22-Jun,25.36
23-Jun,23.88
24-Jun,24.21
25-Jun,24.72
26-Jun,22.69
27-Jun,19.84
28-Jun,21.23
29-Jun,22.89
30-Jun,24.32
1-Jul,25.18
2-Jul,23.98
3-Jul,25.32
4-Jul,26.72
5-Jul,29.55
6-Jul,28.15
7-Jul,24.48
8-Jul,25.18
9-Jul,22.8
10-Jul,21.84
11-Jul,24.21
12-Jul,23.81
13-Jul,24.08
14-Jul,23.19
15-Jul,23.53
16-Jul,26.61
17-Jul,23.57
18-Jul,24.86
19-Jul,25.01
20-Jul,26.98
21-Jul,26.44
22-Jul,26.2
23-Jul,28.27
24-Jul,26.72
25-Jul,22.69
26-Jul,22.8
27-Jul,24.93
28-Jul,24.58
29-Jul,21.97
30-Jul,23.42
31-Jul,24.55
1-Aug,26.12
2-Aug,25.5
3-Aug,26.46
4-Aug,24.83
5-Aug,26.02
6-Aug,27.08
7-Aug,27.79
8-Aug,27
9-Aug,22.62
10-Aug,21.64
11-Aug,22.55
12-Aug,20.8
13-Aug,21.57
14-Aug,23.9
15-Aug,22.6
16-Aug,22.69
17-Aug,22.62
18-Aug,22.49
19-Aug,23.3
20-Aug,22.51
21-Aug,22.73
22-Aug,22.36
23-Aug,22.94
24-Aug,23.39
25-Aug,23.76
26-Aug,23.65
27-Aug,23.35
28-Aug,26.11
29-Aug,25.44
30-Aug,21.94
31-Aug,21.19
1-Sep,22.57
2-Sep,22.43
3-Sep,23.46
4-Sep,22.4
5-Sep,22.14
6-Sep,23.12
7-Sep,21.48
8-Sep,20.59
9-Sep,21.4
10-Sep,23.66
11-Sep,17.74
12-Sep,15.76
13-Sep,19.58
14-Sep,20.92
15-Sep,21.72
16-Sep,21.39
17-Sep,22.82
18-Sep,22.86
19-Sep,24.31
20-Sep,24.94
21-Sep,24.83
22-Sep,16.03
23-Sep,13.15
24-Sep,18.43
25-Sep,17.74
26-Sep,13.78
27-Sep,11.57
28-Sep,11.3
29-Sep,11.83
30-Sep,12.81
1-Oct,14.19
2-Oct,15.25
3-Oct,12.5
4-Oct,15.08
5-Oct,16.88
6-Oct,17.37
7-Oct,11.19
8-Oct,8.79
9-Oct,11.26
10-Oct,14.67
11-Oct,15.64
12-Oct,15.07
13-Oct,9.16
14-Oct,9.59
15-Oct,8.3
16-Oct,10.25
17-Oct,4.14
18-Oct,3.54
19-Oct,3.38
20-Oct,7.84
21-Oct,13.12
22-Oct,16.72
23-Oct,18.81
24-Oct,17.83
25-Oct,16.05
26-Oct,8.69
27-Oct,7.63
28-Oct,9.25
29-Oct,10.71
30-Oct,11.48
31-Oct,12.62
1-Nov,12.26
2-Nov,14
3-Nov,14.62
4-Nov,17.93
5-Nov,13.4
6-Nov,11.32
7-Nov,8.65
8-Nov,9.27
9-Nov,13.61
10-Nov,15.12
11-Nov,5.83
12-Nov,-0.43
13-Nov,-0.35
14-Nov,0.39
15-Nov,0.85
16-Nov,-0.77
17-Nov,-1.59
18-Nov,-3.62
19-Nov,-4.2
20-Nov,-3.65
21-Nov,0.46
22-Nov,2.55
23-Nov,4.81
24-Nov,5.58
25-Nov,5.14
26-Nov,4.22
27-Nov,5.25
28-Nov,4.29
29-Nov,8.58
30-Nov,-2.84
1-Dec,-3.01
2-Dec,5.39
3-Dec,-1.66
4-Dec,-2.06
5-Dec,1.27
6-Dec,4.69
7-Dec,5.04
8-Dec,4.78
9-Dec,4.55
10-Dec,3.72
11-Dec,2.23
12-Dec,2.11
13-Dec,1.55
14-Dec,8
15-Dec,0.71
16-Dec,-1.56
17-Dec,-3.63
18-Dec,-5.44
19-Dec,-5.37
20-Dec,-1.67
21-Dec,-2.71
22-Dec,-7.44
23-Dec,-18.56
24-Dec,-12.54
25-Dec,-11.95
26-Dec,-6.61
27-Dec,-6.56
28-Dec,1.74
29-Dec,10.3
30-Dec,5.42
31-Dec,1.66
1-Jan,6.65
2-Jan,8.11
3-Jan,14.17
4-Jan,1.51
5-Jan,-0.31
6-Jan,-1.48
7-Jan,-1.75
8-Jan,-0.91
9-Jan,0.13
10-Jan,1.91
11-Jan,5.94
12-Jan,2.92
13-Jan,-1.78
14-Jan,-3.2
15-Jan,0.44
16-Jan,4.98
17-Jan,3.35
18-Jan,1.76
19-Jan,2.95
20-Jan,-0.88
21-Jan,-1.7
22-Jan,-0.35
23-Jan,-1.25
24-Jan,0.44
25-Jan,-0.17
26-Jan,-5.19
27-Jan,-2.11
28-Jan,1.96
29-Jan,-0.28
30-Jan,-6.87
31-Jan,-9.74
1-Feb,-6.33
2-Feb,-2.19
3-Feb,-9.93
4-Feb,-1.85
5-Feb,2.59
6-Feb,1.96
7-Feb,5.41
8-Feb,1.28
9-Feb,5.19
10-Feb,0.02
11-Feb,0.21
12-Feb,2.53
13-Feb,5.51
14-Feb,6.36
15-Feb,7.28
16-Feb,2.2
17-Feb,-3.54
18-Feb,1.41
19-Feb,6.03
20-Feb,4.77
21-Feb,2.88
22-Feb,10.76
23-Feb,5.09
24-Feb,-2.05
25-Feb,1.75
26-Feb,5.19
27-Feb,10.09
28-Feb,6.31
1-Mar,9.18
2-Mar,4.26
3-Mar,1.24
4-Mar,1.4
5-Mar,5.57
6-Mar,10.96
7-Mar,4.87
8-Mar,4.11
9-Mar,5.01
10-Mar,2.77
11-Mar,2.25
12-Mar,2.68
13-Mar,-0.68
14-Mar,-0.43
15-Mar,2.86
16-Mar,7.65
17-Mar,0.47
18-Mar,-5.32
19-Mar,-2.18
20-Mar,2.16
21-Mar,4.3
22-Mar,9.77
23-Mar,9.37
24-Mar,4.26
25-Mar,5.53
26-Mar,9.54
27-Mar,5.44
28-Mar,3.46
29-Mar,4.02
30-Mar,7.45
31-Mar,16.33
1-Apr,5.9
2-Apr,7.33
3-Apr,15.31
4-Apr,20.12
5-Apr,14.79
6-Apr,5.56
7-Apr,6.88
8-Apr,8.99
9-Apr,10.36
10-Apr,12.79
11-Apr,15.65
12-Apr,16.5
13-Apr,16.67
14-Apr,18.8
15-Apr,19.79
16-Apr,8.09
17-Apr,6.36
18-Apr,8.92
19-Apr,16.84
20-Apr,18.91
21-Apr,11.65
22-Apr,5.27
23-Apr,4.26
24-Apr,7.29
25-Apr,8.97
26-Apr,7.76
27-Apr,10.15
28-Apr,12.89
29-Apr,12.05
30-Apr,6.7
1-May,8.83
2-May,10.08
3-May,10.24
4-May,14.2
5-May,16.28
6-May,18.12
7-May,21.49
8-May,18.63
9-May,16.96
10-May,17.37
11-May,20.15
12-May,22.44
13-May,22.01
14-May,19.74
15-May,17.01
16-May,16.55
17-May,16.1
18-May,16.48
19-May,18.12
20-May,15.26
21-May,19.33
22-May,20.92
23-May,21.71
24-May,21.68
25-May,15.06
26-May,15.35
27-May,17.4
28-May,19.45
29-May,21.6
30-May,23.77
31-May,24.69
1-Jun,24.95
2-Jun,24.69
3-Jun,24.12
4-Jun,22.1
5-Jun,19.79
6-Jun,21.66
7-Jun,19.47
8-Jun,17.81
9-Jun,19.54
10-Jun,22.12
11-Jun,16.37
12-Jun,15.34
13-Jun,19.54
14-Jun,21.53
15-Jun,23.01
16-Jun,18.12
17-Jun,20.44
18-Jun,22.41
19-Jun,23.45
20-Jun,25.03
21-Jun,25.33
22-Jun,23.88
23-Jun,24.26
24-Jun,26.86
25-Jun,27.39
26-Jun,23.97
27-Jun,23.32
28-Jun,21.78
29-Jun,23.96
30-Jun,25.74
1-Jul,25.42
2-Jul,23.04
3-Jul,25.1
4-Jul,26.5
5-Jul,26.5
6-Jul,24.31
7-Jul,23.08
8-Jul,21.06
9-Jul,21.29
10-Jul,22.65
11-Jul,24.33
12-Jul,25.23
13-Jul,24.44
14-Jul,27.04
15-Jul,24.99
16-Jul,23.6
17-Jul,23.45
18-Jul,22.14
19-Jul,24.19
20-Jul,26.35
21-Jul,22.27
22-Jul,23.15
23-Jul,25.26
24-Jul,26.09
25-Jul,26.66
26-Jul,28.9
27-Jul,30.6
28-Jul,30.78
29-Jul,27.33
30-Jul,25.31
31-Jul,23.98
1-Aug,24.06
2-Aug,23.99
3-Aug,25.83
4-Aug,26.78
5-Aug,24.45
6-Aug,23.24
7-Aug,21.65
8-Aug,22.43
9-Aug,21.88
10-Aug,22.29
11-Aug,25.18
12-Aug,25.6
13-Aug,23.5
14-Aug,21.88
15-Aug,20.84
16-Aug,21.62
17-Aug,21.45
18-Aug,20.51
19-Aug,22.43
20-Aug,27.15
21-Aug,28.1
22-Aug,27.89
23-Aug,28.7
24-Aug,29.32
25-Aug,29.19
26-Aug,24.91
27-Aug,22.07
28-Aug,21.53
29-Aug,22.82
30-Aug,19.58
31-Aug,18.39
1-Sep,20.8
2-Sep,24.01
3-Sep,26.59
4-Sep,26.85
5-Sep,26.4
6-Sep,24.45
7-Sep,21.51
8-Sep,20.4
9-Sep,19.76
10-Sep,20.08
11-Sep,20.84
12-Sep,19.01
13-Sep,18.26
14-Sep,16.72
15-Sep,19.19
16-Sep,18.8
17-Sep,17.51
18-Sep,17.66
19-Sep,19.19
20-Sep,20.25
21-Sep,19.55
22-Sep,21.65
23-Sep,20.56
24-Sep,19.31
25-Sep,21.93
26-Sep,22.05
27-Sep,20.14
28-Sep,19.41
29-Sep,19.41
30-Sep,20.55
1-Oct,21.26
2-Oct,21.58
3-Oct,22.51
4-Oct,22.46
5-Oct,18.51
6-Oct,12.36
7-Oct,10.21
8-Oct,10.89
9-Oct,9.98
10-Oct,9.87
11-Oct,11.55
12-Oct,17.21
13-Oct,17.09
14-Oct,11.72
15-Oct,10.78
16-Oct,9.99
17-Oct,10.91
18-Oct,12.58
19-Oct,12.69
20-Oct,11.68
21-Oct,13.29
22-Oct,10.25
23-Oct,12.37
24-Oct,16.37
25-Oct,17.22
26-Oct,19.39
27-Oct,18.38
28-Oct,8.78
29-Oct,8.53
30-Oct,2.33
31-Oct,-0.34
1-Nov,1.34
2-Nov,4.89
3-Nov,8.6
4-Nov,10.17
